Class	Tx_expression	Gene_expression	DNase_Enh	DNase_Prom	H4K20me1_Enh	H4K20me1_Prom	H3K9me3_Enh	H3K9me3_Prom	H3K9ac_Enh	H3K9ac_Prom	H3K79me2_Enh	H3K79me2_Prom	H3K4me3_Enh	H3K4me3_Prom	H3K4me2_Enh	H3K4me2_Prom	H3K4me1_Enh	H3K4me1_Prom	H3K36me3_Enh	H3K36me3_Prom	H3K27me3_Enh	H3K27me3_Prom	H3K27ac_Enh	H3K27ac_Prom	H2A.Z_Enh	H2A.Z_Prom	CTCF_Enh	CTCF_Prom	Hi-C_contact
0	-0.997451	-0.982087	-0.922537	-0.104489	-0.438192	-0.31651	-0.895868	-0.429939	-0.988671	-0.432359	-0.731984	-0.140975	-0.994793	-0.560218	-0.953187	-0.164866	-0.689885	-0.286239	-0.813287	0.0819318	-0.966394	-0.894232	-0.980749	-0.634162	-0.965982	-0.572319	-0.946583	1	-0.92011
0	-0.997451	-0.982087	-0.954667	-0.104489	-0.37481	-0.31651	-0.881438	-0.429939	-0.987412	-0.432359	-0.767379	-0.140975	-0.992979	-0.560218	-0.952	-0.164866	-0.566208	-0.286239	-0.751533	0.0819318	-0.957673	-0.894232	-0.971961	-0.634162	-0.953295	-0.572319	-0.950175	1	-0.930389
0	-0.997451	-0.982087	-0.911428	-0.104489	-0.869847	-0.31651	-0.934772	-0.429939	-0.967446	-0.432359	-0.954341	-0.140975	-0.975473	-0.560218	-0.918807	-0.164866	-0.452224	-0.286239	-0.926588	0.0819318	-0.96724	-0.894232	-0.932523	-0.634162	-0.926642	-0.572319	-0.978354	1	-0.937387
0	-0.997451	-0.982087	-0.924295	-0.104489	-0.915039	-0.31651	-0.916879	-0.429939	-0.983934	-0.432359	-0.975939	-0.140975	-0.990718	-0.560218	-0.942827	-0.164866	-0.469149	-0.286239	-0.897475	0.0819318	-0.974274	-0.894232	-0.940761	-0.634162	-0.943035	-0.572319	-0.994751	1	-0.93317
0	-0.997451	-0.982087	-0.907046	-0.104489	-0.796415	-0.31651	-0.923022	-0.429939	-0.993659	-0.432359	-0.980841	-0.140975	-0.997001	-0.560218	-0.977033	-0.164866	-0.88574	-0.286239	-0.840421	0.0819318	-0.974305	-0.894232	-0.972158	-0.634162	-0.973651	-0.572319	-0.986154	1	-0.961742
0	-0.997451	-0.982087	-0.978779	-0.104489	-0.814965	-0.31651	-0.925979	-0.429939	-0.996883	-0.432359	-0.97796	-0.140975	-0.998346	-0.560218	-0.995036	-0.164866	-0.88384	-0.286239	-0.874547	0.0819318	-0.969782	-0.894232	-0.997168	-0.634162	-0.986956	-0.572319	-0.988494	1	-0.924441
0	-0.997451	-0.982087	-0.8891	-0.104489	-0.783757	-0.31651	-0.950044	-0.429939	-0.996234	-0.432359	-0.988099	-0.140975	-0.998149	-0.560218	-0.99062	-0.164866	-0.855939	-0.286239	-0.927413	0.0819318	-0.973412	-0.894232	-0.996334	-0.634162	-0.983428	-0.572319	0.276737	1	-0.929666
0	-0.997451	-0.982087	-0.953617	-0.104489	-0.679521	-0.31651	-0.94642	-0.429939	-0.99774	-0.432359	-0.983514	-0.140975	-0.998938	-0.560218	-0.996931	-0.164866	-0.954614	-0.286239	-0.81597	0.0819318	-0.97642	-0.894232	-0.997971	-0.634162	-0.989178	-0.572319	-0.0161041	1	-0.929666
0	-0.997451	-0.982087	-0.97704	-0.104489	-0.810961	-0.31651	-0.903551	-0.429939	-0.995772	-0.432359	-0.979927	-0.140975	-0.997849	-0.560218	-0.99376	-0.164866	-0.96227	-0.286239	-0.470299	0.0819318	-0.967988	-0.894232	-0.996516	-0.634162	-0.982756	-0.572319	-0.475664	1	-0.941352
0	-0.997451	-0.982087	-0.993984	-0.104489	-0.914402	-0.31651	-0.924515	-0.429939	-0.995749	-0.432359	-0.988965	-0.140975	-0.998279	-0.560218	-0.992108	-0.164866	-0.968296	-0.286239	-0.784366	0.0819318	-0.974076	-0.894232	-0.997987	-0.634162	-0.98731	-0.572319	-0.99857	1	-0.897723
0	-0.997451	-0.982087	-0.97406	-0.104489	-0.90236	-0.31651	-0.93889	-0.429939	-0.995696	-0.432359	-0.989898	-0.140975	-0.998471	-0.560218	-0.992935	-0.164866	-0.915236	-0.286239	-0.660777	0.0819318	-0.978098	-0.894232	-0.993589	-0.634162	-0.985791	-0.572319	-0.994328	1	-0.854158
0	-0.997451	-0.982087	-0.869936	-0.104489	-0.909745	-0.31651	-0.930411	-0.429939	-0.960863	-0.432359	-0.972898	-0.140975	-0.894045	-0.560218	-0.826943	-0.164866	-0.785271	-0.286239	-0.936104	0.0819318	-0.968529	-0.894232	-0.954652	-0.634162	-0.929463	-0.572319	-0.972585	1	-0.742259
0	-0.997451	-0.982087	-0.89807	-0.104489	-0.930329	-0.31651	-0.924749	-0.429939	-0.935692	-0.432359	-0.970788	-0.140975	-0.847061	-0.560218	-0.870484	-0.164866	-0.903199	-0.286239	-0.934927	0.0819318	-0.970501	-0.894232	-0.950515	-0.634162	-0.948011	-0.572319	-0.962558	1	-0.742259
